strategy,seed,method,family,nominal_budget,n_reps_total,avg_reps_per_seg,build_time_s,route_us_per_query,recall@1,recall@5,recall@10
semi,45,kRt-b4d2,hier,16,3200,16.0,2.741824150085449,169.51704025268555,0.3465,0.7305,0.8355
semi,46,Mean,mean,1,200,1.0,0.0556960105895996,9.119987487792969,0.128,0.436,0.606
semi,46,HMRC-3,flat,3,600,3.0,1.1518499851226809,28.791069984436035,0.257,0.688,0.776
semi,46,HMRC-4,flat,4,800,4.0,1.3749628067016602,36.138057708740234,0.2465,0.6905,0.7765
semi,46,HMRC-9,flat,9,1800,9.0,1.7195870876312256,81.95698261260986,0.285,0.6875,0.786
semi,46,HMRC-16,flat,16,3200,16.0,2.134838819503784,161.6455316543579,0.3295,0.7185,0.807
semi,46,kRt-b2d2,hier,4,800,4.0,1.8475279808044431,36.26096248626709,0.243,0.677,0.771
semi,46,kRt-b3d2,hier,9,1800,9.0,2.346567392349243,87.98003196716309,0.284,0.695,0.8
semi,46,kRt-b4d2,hier,16,3200,16.0,2.8423948287963867,181.59735202789307,0.3365,0.728,0.8335
random,42,Mean,mean,1,200,1.0,0.0535190105438232,8.876562118530273,0.029,0.088,0.146
random,42,HMRC-3,flat,3,600,3.0,1.405221939086914,26.564478874206543,0.0325,0.096,0.162
random,42,HMRC-4,flat,4,800,4.0,1.4962046146392822,38.2770299911499,0.037,0.119,0.189
random,42,HMRC-9,flat,9,1800,9.0,1.6547470092773438,83.07147026062012,0.0825,0.212,0.3125
random,42,HMRC-16,flat,16,3200,16.0,3.1873722076416016,171.56195640563965,0.134,0.2975,0.416
random,42,kRt-b2d2,hier,4,800,4.0,2.3402419090270996,38.88499736785889,0.038,0.122,0.191
random,42,kRt-b3d2,hier,9,1800,9.0,2.6293890476226807,94.29800510406494,0.067,0.202,0.3015
random,42,kRt-b4d2,hier,16,3200,16.0,2.9780819416046143,181.23888969421387,0.1405,0.3195,0.441
random,43,Mean,mean,1,200,1.0,0.086184024810791,8.638501167297363,0.0175,0.0825,0.1385
random,43,HMRC-3,flat,3,600,3.0,1.3761308193206787,28.63490581512451,0.0235,0.0805,0.149
random,43,HMRC-4,flat,4,800,4.0,2.404407024383545,37.869930267333984,0.0325,0.1195,0.1925
random,43,HMRC-9,flat,9,1800,9.0,1.615861892700195,89.17450904846191,0.0665,0.1915,0.2865
random,43,HMRC-16,flat,16,3200,16.0,3.0597879886627197,174.59845542907715,0.1265,0.287,0.4115
random,43,kRt-b2d2,hier,4,800,4.0,2.4188790321350098,38.36798667907715,0.033,0.1155,0.1835
random,43,kRt-b3d2,hier,9,1800,9.0,2.6491591930389404,90.4555320739746,0.0795,0.209,0.3115
random,43,kRt-b4d2,hier,16,3200,16.0,2.9289350509643555,180.8180809020996,0.1195,0.2985,0.413
random,44,Mean,mean,1,200,1.0,0.0930550098419189,9.639501571655272,0.021,0.0785,0.1395
random,44,HMRC-3,flat,3,600,3.0,1.9369122982025144,28.1064510345459,0.0325,0.109,0.1785
random,44,HMRC-4,flat,4,800,4.0,2.580828905105591,38.39552402496338,0.029,0.111,0.1755
random,44,HMRC-9,flat,9,1800,9.0,2.4726710319519043,92.67842769622804,0.0605,0.1925,0.2855
random,44,HMRC-16,flat,16,3200,16.0,2.633025646209717,182.95657634735107,0.126,0.288,0.4015
random,44,kRt-b2d2,hier,4,800,4.0,2.4276161193847656,38.51652145385742,0.0285,0.115,0.1815
random,44,kRt-b3d2,hier,9,1800,9.0,2.61318302154541,92.47291088104248,0.0675,0.212,0.3155
random,44,kRt-b4d2,hier,16,3200,16.0,2.678579807281494,148.87607097625732,0.126,0.298,0.429
random,45,Mean,mean,1,200,1.0,0.0622668266296386,9.623527526855469,0.027,0.083,0.1495
random,45,HMRC-3,flat,3,600,3.0,1.4556732177734375,27.58193016052246,0.031,0.099,0.1635
random,45,HMRC-4,flat,4,800,4.0,1.51279878616333,38.49184513092041,0.038,0.1075,0.191
random,45,HMRC-9,flat,9,1800,9.0,1.8285691738128664,76.05206966400146,0.069,0.2065,0.307
random,45,HMRC-16,flat,16,3200,16.0,1.9524757862091064,139.6886110305786,0.1095,0.287,0.404
random,45,kRt-b2d2,hier,4,800,4.0,2.027777194976806,32.60612487792969,0.0405,0.129,0.201
random,45,kRt-b3d2,hier,9,1800,9.0,2.1769790649414062,81.89094066619873,0.0745,0.2125,0.323
random,45,kRt-b4d2,hier,16,3200,16.0,2.400986909866333,153.41949462890625,0.1285,0.301,0.417
random,46,Mean,mean,1,200,1.0,0.0563471317291259,9.50491428375244,0.023,0.07,0.1315
random,46,HMRC-3,flat,3,600,3.0,1.3912391662597656,26.862025260925293,0.024,0.092,0.1555
random,46,HMRC-4,flat,4,800,4.0,1.4925272464752195,36.35144233703613,0.033,0.117,0.183
random,46,HMRC-9,flat,9,1800,9.0,2.3403756618499756,85.99698543548584,0.0655,0.192,0.3
random,46,HMRC-16,flat,16,3200,16.0,2.1799590587615967,157.7681303024292,0.111,0.2915,0.4095
random,46,kRt-b2d2,hier,4,800,4.0,2.045480966567993,33.864498138427734,0.0355,0.107,0.171
random,46,kRt-b3d2,hier,9,1800,9.0,2.1347551345825195,70.67286968231201,0.067,0.1915,0.2955
random,46,kRt-b4d2,hier,16,3200,16.0,2.12283706665039,132.08496570587158,0.1235,0.3145,0.436
coherent,42,Mean,mean,1,200,1.0,0.047544002532958984,8.547425270080566,0.9355,1.0,1.0
coherent,42,HMRC-3,flat,3,586,2.93,2.113168239593506,28.538942337036133,0.8435,0.9985,1.0
coherent,42,HMRC-4,flat,4,779,3.895,2.6232059001922607,35.685062408447266,0.834,0.9985,0.9995
coherent,42,HMRC-9,flat,9,1741,8.705,3.200413227081299,92.17894077301025,0.8215,0.9985,1.0
coherent,42,HMRC-16,flat,16,3073,15.365,3.007310152053833,175.9934425354004,0.849,0.9995,1.0
coherent,42,kRt-b2d2,hier,4,778,3.89,3.1637911796569824,36.979079246520996,0.8275,0.998,1.0
coherent,42,kRt-b3d2,hier,9,1724,8.62,3.7660231590270996,88.48702907562256,0.837,0.997,1.0
coherent,42,kRt-b4d2,hier,16,3032,15.16,4.358780860900879,197.21102714538574,0.8405,0.999,0.9995
coherent,43,Mean,mean,1,200,1.0,0.04670524597167969,8.766531944274902,0.949,1.0,1.0
coherent,43,HMRC-3,flat,3,590,2.95,1.981436014175415,27.57251262664795,0.8425,0.998,1.0
coherent,43,HMRC-4,flat,4,785,3.925,1.794374942779541,36.139488220214844,0.833,0.998,1.0
coherent,43,HMRC-9,flat,9,1760,8.8,3.60427188873291,96.54355049133301,0.8365,0.9985,1.0
coherent,43,HMRC-16,flat,16,3111,15.555,4.041901111602783,192.7509307861328,0.84,0.9985,1.0
coherent,43,kRt-b2d2,hier,4,785,3.925,3.3202171325683594,41.2830114364624,0.835,0.9985,1.0
coherent,43,kRt-b3d2,hier,9,1752,8.76,3.584836959838867,100.64947605133057,0.8355,0.9975,0.9995
coherent,43,kRt-b4d2,hier,16,3071,15.355,3.7672040462493896,183.9209794998169,0.8355,0.997,1.0
coherent,44,Mean,mean,1,200,1.0,0.04462790489196777,9.26196575164795,0.95,1.0,1.0
coherent,44,HMRC-3,flat,3,594,2.97,2.2432548999786377,30.675053596496586,0.8555,0.999,1.0
coherent,44,HMRC-4,flat,4,791,3.955,2.4118010997772217,35.57455539703369,0.8505,0.999,1.0
coherent,44,HMRC-9,flat,9,1772,8.86,2.206935167312622,96.43542766571045,0.84,0.998,1.0
coherent,44,HMRC-16,flat,16,3134,15.67,3.0124499797821045,184.88097190856934,0.84,0.9965,1.0
coherent,44,kRt-b2d2,hier,4,790,3.95,3.244318962097168,42.78552532196045,0.844,0.9995,1.0
coherent,44,kRt-b3d2,hier,9,1756,8.78,3.542311906814575,103.15907001495361,0.8255,0.9985,1.0
coherent,44,kRt-b4d2,hier,16,3071,15.355,3.8929622173309326,201.5054225921631,0.829,0.9965,0.9995
coherent,45,Mean,mean,1,200,1.0,0.05099821090698242,8.893132209777832,0.9385,1.0,1.0
coherent,45,HMRC-3,flat,3,584,2.92,1.8879790306091309,26.469945907592773,0.854,0.999,1.0
coherent,45,HMRC-4,flat,4,776,3.88,2.2422399520874023,34.515976905822754,0.8465,1.0,1.0
coherent,45,HMRC-9,flat,9,1726,8.63,2.306303024291992,93.2924747467041,0.838,0.9995,1.0
coherent,45,HMRC-16,flat,16,3031,15.155,4.675426244735718,187.95251846313477,0.8445,0.9975,0.9995
coherent,45,kRt-b2d2,hier,4,775,3.875,3.2204458713531494,41.245341300964355,0.8315,0.9975,1.0
coherent,45,kRt-b3d2,hier,9,1706,8.53,4.0513410568237305,101.50563716888428,0.8285,0.9975,1.0
coherent,45,kRt-b4d2,hier,16,2966,14.83,3.7858688831329346,169.97945308685303,0.84,0.997,1.0
coherent,46,Mean,mean,1,200,1.0,0.053160905838012695,11.037111282348633,0.9295,1.0,1.0
coherent,46,HMRC-3,flat,3,592,2.96,2.0341451168060303,32.851576805114746,0.8315,0.999,1.0
coherent,46,HMRC-4,flat,4,788,3.94,2.3130807876586914,40.53294658660889,0.8285,0.9975,1.0
coherent,46,HMRC-9,flat,9,1756,8.78,2.1648011207580566,98.03593158721924,0.8375,0.997,1.0
coherent,46,HMRC-16,flat,16,3072,15.36,3.4724080562591553,201.92360877990723,0.8365,0.9975,1.0
coherent,46,kRt-b2d2,hier,4,786,3.93,3.1244571208953857,46.307921409606934,0.8265,0.998,1.0
coherent,46,kRt-b3d2,hier,9,1732,8.66,3.6224849224090576,104.65288162231445,0.827,0.997,1.0
coherent,46,kRt-b4d2,hier,16,3008,15.04,3.5705878734588623,181.61094188690186,0.8345,0.9975,1.0
timebatch,42,Mean,mean,1,200,1.0,0.03567004203796387,9.94861125946045,0.083,0.251,0.351
timebatch,42,HMRC-3,flat,3,600,3.0,1.4848158359527588,27.45187282562256,0.1715,0.4045,0.5335
timebatch,42,HMRC-4,flat,4,800,4.0,1.6117260456085205,46.10002040863037,0.236,0.4815,0.596
timebatch,42,HMRC-9,flat,9,1800,9.0,2.53214693069458,101.61900520324707,0.413,0.6705,0.76
timebatch,42,HMRC-16,flat,16,3200,16.0,2.9240288734436035,200.09946823120117,0.5805,0.799,0.8665
timebatch,42,kRt-b2d2,hier,4,800,4.0,2.5088388919830322,37.28008270263672,0.23,0.474,0.6015
timebatch,42,kRt-b3d2,hier,9,1800,9.0,2.8110852241516113,109.12704467773438,0.411,0.6705,0.7585
timebatch,42,kRt-b4d2,hier,16,3200,16.0,3.2204349040985107,201.87902450561523,0.546,0.7795,0.8475
timebatch,43,Mean,mean,1,200,1.0,0.030522823333740234,10.21111011505127,0.1005,0.2515,0.3725
timebatch,43,HMRC-3,flat,3,600,3.0,1.4395778179168701,28.797626495361328,0.166,0.394,0.534
timebatch,43,HMRC-4,flat,4,800,4.0,1.5510830879211426,45.619964599609375,0.2265,0.458,0.5775
timebatch,43,HMRC-9,flat,9,1800,9.0,1.8642981052398682,105.42893409729004,0.4075,0.655,0.752
timebatch,43,HMRC-16,flat,16,3200,16.0,4.274138927459717,199.8530626296997,0.551,0.783,0.8585
timebatch,43,kRt-b2d2,hier,4,800,4.0,2.5272939205169678,46.22995853424072,0.222,0.443,0.5715
timebatch,43,kRt-b3d2,hier,9,1800,9.0,2.8372840881347656,106.08601570129395,0.41,0.6475,0.7395
timebatch,43,kRt-b4d2,hier,16,3200,16.0,3.1814792156219482,209.83004570007324,0.5325,0.7595,0.836
timebatch,44,Mean,mean,1,200,1.0,0.037307024002075195,11.023521423339844,0.0915,0.2495,0.3625
timebatch,44,HMRC-3,flat,3,600,3.0,1.5165927410125732,28.182029724121094,0.1765,0.418,0.5435
timebatch,44,HMRC-4,flat,4,800,4.0,1.5444822311401367,36.69404983520508,0.221,0.476,0.6015
timebatch,44,HMRC-9,flat,9,1800,9.0,2.792030096054077,111.66095733642578,0.4015,0.66,0.757
timebatch,44,HMRC-16,flat,16,3200,16.0,3.5921759605407715,214.25509452819824,0.5605,0.7875,0.854
timebatch,44,kRt-b2d2,hier,4,800,4.0,2.648510217666626,46.73206806182861,0.245,0.47,0.5845
timebatch,44,kRt-b3d2,hier,9,1800,9.0,2.866314649581909,99.19941425323486,0.424,0.6545,0.745
timebatch,44,kRt-b4d2,hier,16,3200,16.0,3.204643726348877,196.05648517608643,0.547,0.7655,0.8385
timebatch,45,Mean,mean,1,200,1.0,0.03924703598022461,11.086106300354004,0.1105,0.2765,0.3995
timebatch,45,HMRC-3,flat,3,600,3.0,1.395669937133789,33.20050239562988,0.1895,0.438,0.5585
timebatch,45,HMRC-4,flat,4,800,4.0,1.4797890186309814,41.927456855773926,0.2185,0.4775,0.606
timebatch,45,HMRC-9,flat,9,1800,9.0,1.510556936264038,78.65703105926514,0.4295,0.6755,0.7745
timebatch,45,HMRC-16,flat,16,3200,16.0,3.1448278427124023,181.3739538192749,0.569,0.7915,0.867
timebatch,45,kRt-b2d2,hier,4,800,4.0,3.2674407958984375,39.86001014709473,0.2405,0.487,0.613
timebatch,45,kRt-b3d2,hier,9,1800,9.0,2.2421350479125977,91.08901023864746,0.438,0.6845,0.7755
timebatch,45,kRt-b4d2,hier,16,3200,16.0,2.4093401432037354,165.70556163787842,0.557,0.777,0.846
timebatch,46,Mean,mean,1,200,1.0,0.051872968673706055,11.05344295501709,0.091,0.244,0.351
timebatch,46,HMRC-3,flat,3,600,3.0,1.3425531387329102,32.325029373168945,0.171,0.4025,0.528
timebatch,46,HMRC-4,flat,4,800,4.0,1.2535839080810547,35.755038261413574,0.2295,0.4755,0.5915
timebatch,46,HMRC-9,flat,9,1800,9.0,1.9133379459381104,75.19257068634033,0.4195,0.6665,0.771
timebatch,46,HMRC-16,flat,16,3200,16.0,2.0410609245300293,259.18495655059814,0.571,0.7845,0.862
timebatch,46,kRt-b2d2,hier,4,800,4.0,2.9990200996398926,38.945555686950684,0.236,0.482,0.592
timebatch,46,kRt-b3d2,hier,9,1800,9.0,2.1713650226593018,89.12897109985352,0.4265,0.686,0.764
timebatch,46,kRt-b4d2,hier,16,3200,16.0,2.394512891769409,158.33044052124023,0.5555,0.7835,0.8505
