scenario,policy,method,step,recall@10_mean,kmeans_fits_mean,recall@10_std,kmeans_fits_std,recall@10_ci95,kmeans_fits_ci95
deletes,drift,hmrc,2,0.7796666666666666,200.0,0.011846237095944631,0.0,0.013405279225406418,0.0
deletes,drift,hmrc,5,0.785,202.0,0.016000000000000014,1.7320508075688772,0.01810570444178668,1.96
deletes,drift,hmrc,8,0.7793333333333333,256.6666666666667,0.006350852961085873,2.309401076758499,0.007186666666666655,2.613333333333329
deletes,drift,hmrc,11,0.7666666666666666,314.0,0.01305118130030129,1.7320508075688772,0.014768801952464257,1.96
deletes,drift,hmrc,14,0.8023333333333333,380.0,0.02138535324312724,2.0,0.024199805325204108,2.263213055223333
deletes,periodic,hmrc,2,0.7806666666666667,398.3333333333333,0.007094598884597591,0.5773502691896216,0.008028294408597083,0.6533333333333287
deletes,periodic,hmrc,5,0.789,598.3333333333334,0.018027756377319994,0.577350269189634,0.020400326794768157,0.6533333333333425
deletes,periodic,hmrc,8,0.7776666666666667,598.3333333333334,0.005773502691896279,0.577350269189634,0.006533333333333357,0.6533333333333425
deletes,periodic,hmrc,11,0.771,798.3333333333334,0.010148891565092223,0.577350269189634,0.011484551943081341,0.6533333333333425
deletes,periodic,hmrc,14,0.8023333333333333,798.3333333333334,0.017387735140993222,0.577350269189634,0.01967607458593069,0.6533333333333425
deletes,static,hmrc,2,0.79,200.0,0.0050000000000000044,0.0,0.005658032638058337,0.0
deletes,static,hmrc,5,0.787,200.0,0.008888194417315597,0.0,0.010057938821315903,0.0
deletes,static,hmrc,8,0.7703333333333333,200.0,0.022143471573656513,0.0,0.02505769697673309,0.0
deletes,static,hmrc,11,0.7766666666666667,200.0,0.012701705922171794,0.0,0.014373333333333365,0.0
deletes,static,hmrc,14,0.7963333333333334,200.0,0.013316656236958806,0.0,0.015069215123703197,0.0
deletes,static,mean,2,0.6326666666666667,200.0,0.016653327995729064,0.0,0.018845014666425124,0.0
deletes,static,mean,5,0.6236666666666667,200.0,0.013503086067019394,0.0,0.01528018033634129,0.0
deletes,static,mean,8,0.6366666666666667,200.0,0.01942506971244464,0.0,0.021981535685914034,0.0
deletes,static,mean,11,0.619,200.0,0.010583005244258372,0.0,0.011975797816151273,0.0
deletes,static,mean,14,0.6386666666666666,200.0,0.00776745346515405,0.0,0.008789701044088181,0.0
tenants,drift,hmrc,3,0.999,160.0,0.0010000000000000009,0.0,0.0011316065276116675,0.0
tenants,drift,hmrc,7,0.991,243.33333333333334,0.005196152422706605,1.1547005383792495,0.00587999999999997,1.3066666666666644
tenants,drift,hmrc,11,0.9896666666666666,310.6666666666667,0.004725815626252572,9.291573243177565,0.005347763810956627,10.514404933761636
tenants,drift,hmrc,15,0.9823333333333334,350.6666666666667,0.010692676621563606,10.692676621563626,0.012099902662602038,12.09990266260206
tenants,drift,hmrc,19,0.9816666666666666,381.6666666666667,0.004932882862316201,16.258331197676263,0.005582082446940734,18.398033711362864
tenants,periodic,hmrc,3,0.9813333333333333,40.0,0.008020806277010682,0.0,0.009076396739773916,0.0
tenants,periodic,hmrc,7,0.9903333333333334,82.0,0.005686240703077343,0.0,0.0064345870971734736,0.0
tenants,periodic,hmrc,11,0.991,124.66666666666667,0.001732050807568911,0.5773502691896247,0.0019600000000000385,0.6533333333333322
tenants,periodic,hmrc,15,0.992,167.0,0.0010000000000000009,2.6457513110645907,0.0011316065276116675,2.9939494540378155
tenants,periodic,hmrc,19,0.9783333333333334,167.66666666666666,0.002081665999466188,2.5166114784235836,0.0023556268333032025,2.8478139764465737
tenants,static,hmrc,3,0.9813333333333333,40.0,0.01123981020005829,0.0,0.012719042591502153,0.0
tenants,static,hmrc,7,0.9563333333333333,41.0,0.01429452109492772,0.0,0.016175773380102874,0.0
tenants,static,hmrc,11,0.9359999999999999,42.0,0.01852025917745206,0.0,0.020957646178264625,0.0
tenants,static,hmrc,15,0.926,43.0,0.01734935157289744,0.0,0.019632639489720476,0.0
tenants,static,hmrc,19,0.8963333333333333,44.0,0.020231987873991383,0.0,0.022894649544768733,0.0
tenants,static,mean,3,0.9656666666666666,40.0,0.015502687938978008,0.0,0.017542942867274165,0.0
tenants,static,mean,7,0.9493333333333333,41.0,0.026388128644019616,0.0,0.02986097862502899,0.0
tenants,static,mean,11,0.9496666666666668,42.0,0.012858201014657221,0.0,0.014550424201529065,0.0
tenants,static,mean,15,0.9359999999999999,43.0,0.016522711641858305,0.0,0.018697208347772134,0.0
tenants,static,mean,19,0.9206666666666666,44.0,0.014011899704655788,0.0,0.01585595717002847,0.0
