scenario,policy,method,seed,step,corpus_size,recall@10,kmeans_fits,wall_s,n_tenants
append,periodic,hmrc,43,26,67500,0.583,135,1.1887199878692627,
append,periodic,hmrc,43,28,72500,0.568,145,1.2974309921264648,
append,periodic,hmrc,43,30,77500,0.584,155,1.4109289646148682,
append,periodic,hmrc,43,32,82500,0.564,165,1.5213708877563477,
append,periodic,hmrc,43,34,87500,0.602,175,1.6391680240631104,
append,periodic,hmrc,43,36,92500,0.555,185,1.7622039318084717,
append,periodic,hmrc,43,38,97500,0.561,195,1.893786907196045,
append,periodic,hmrc,44,20,52500,0.625,105,0.8423950672149658,
append,periodic,hmrc,44,22,57500,0.636,115,0.9445018768310547,
append,periodic,hmrc,44,24,62500,0.599,125,1.0508699417114258,
append,periodic,hmrc,44,26,67500,0.598,135,1.1529498100280762,
append,periodic,hmrc,44,28,72500,0.622,145,1.255953073501587,
append,periodic,hmrc,44,30,77500,0.596,155,1.3589348793029785,
append,periodic,hmrc,44,32,82500,0.562,165,1.4709720611572266,
append,periodic,hmrc,44,34,87500,0.583,175,1.5842359066009521,
append,periodic,hmrc,44,36,92500,0.594,185,1.6910719871520996,
append,periodic,hmrc,44,38,97500,0.594,195,1.796097993850708,
append,drift,hmrc,42,20,52500,0.647,105,0.8477630615234375,
append,drift,hmrc,42,22,57500,0.628,115,0.9510447978973389,
append,drift,hmrc,42,24,62500,0.577,125,1.0586628913879395,
append,drift,hmrc,42,26,67500,0.606,135,1.166543960571289,
append,drift,hmrc,42,28,72500,0.603,145,1.2756450176239014,
append,drift,hmrc,42,30,77500,0.574,155,1.3934059143066406,
append,drift,hmrc,42,32,82500,0.592,165,1.509523868560791,
append,drift,hmrc,42,34,87500,0.549,175,1.6292381286621094,
append,drift,hmrc,42,36,92500,0.593,185,1.7571420669555664,
append,drift,hmrc,42,38,97500,0.563,195,1.8839259147644043,
append,drift,hmrc,43,20,52500,0.641,105,0.8514728546142578,
append,drift,hmrc,43,22,57500,0.629,115,0.954420804977417,
append,drift,hmrc,43,24,62500,0.606,125,1.051396131515503,
append,drift,hmrc,43,26,67500,0.583,135,1.1451659202575684,
append,drift,hmrc,43,28,72500,0.568,145,1.2483429908752441,
append,drift,hmrc,43,30,77500,0.584,155,1.348625898361206,
append,drift,hmrc,43,32,82500,0.564,165,1.4455218315124512,
append,drift,hmrc,43,34,87500,0.602,175,1.5462310314178467,
append,drift,hmrc,43,36,92500,0.555,185,1.648921012878418,
append,drift,hmrc,43,38,97500,0.561,195,1.7521977424621582,
append,drift,hmrc,44,20,52500,0.625,105,0.7175679206848145,
append,drift,hmrc,44,22,57500,0.636,115,0.8128409385681152,
append,drift,hmrc,44,24,62500,0.599,125,0.912078857421875,
append,drift,hmrc,44,26,67500,0.598,135,1.0079598426818848,
append,drift,hmrc,44,28,72500,0.622,145,1.155060052871704,
append,drift,hmrc,44,30,77500,0.596,155,1.2616710662841797,
append,drift,hmrc,44,32,82500,0.562,165,1.3775649070739746,
append,drift,hmrc,44,34,87500,0.583,175,1.496225118637085,
append,drift,hmrc,44,36,92500,0.594,185,1.6103689670562744,
append,drift,hmrc,44,38,97500,0.594,195,1.728459119796753,
deletes,static,mean,42,2,94120,0.614,200,0.1791379451751709,
deletes,static,hmrc,42,2,94120,0.785,200,0.21890807151794434,
deletes,static,mean,42,5,88587,0.624,200,0.3778049945831299,
deletes,static,hmrc,42,5,88587,0.78,200,0.416323184967041,
deletes,static,mean,42,8,83379,0.658,200,0.5780541896820068,
deletes,static,hmrc,42,8,83379,0.78,200,0.6166691780090332,
deletes,static,mean,42,11,78477,0.615,200,0.7672193050384521,
deletes,static,hmrc,42,11,78477,0.784,200,0.8060522079467773,
deletes,static,mean,42,14,73863,0.641,200,0.9494211673736572,
deletes,static,hmrc,42,14,73863,0.803,200,0.9891550540924072,
deletes,static,mean,43,2,94120,0.638,200,0.1699390411376953,
deletes,static,hmrc,43,2,94120,0.795,200,0.20754408836364746,
deletes,static,mean,43,5,88587,0.61,200,0.3643960952758789,
deletes,static,hmrc,43,5,88587,0.784,200,0.4020709991455078,
deletes,static,mean,43,8,83379,0.62,200,0.5581009387969971,
deletes,static,hmrc,43,8,83379,0.745,200,0.5956218242645264,
deletes,static,mean,43,11,78477,0.611,200,0.7407078742980957,
deletes,static,hmrc,43,11,78477,0.784,200,0.7750990390777588,
deletes,static,mean,43,14,73863,0.63,200,0.9225428104400635,
deletes,static,hmrc,43,14,73863,0.781,200,0.9625759124755859,
deletes,static,mean,44,2,94120,0.646,200,0.15928912162780762,
deletes,static,hmrc,44,2,94120,0.79,200,0.1986532211303711,
deletes,static,mean,44,5,88587,0.637,200,0.37382006645202637,
deletes,static,hmrc,44,5,88587,0.797,200,0.4128251075744629,
deletes,static,mean,44,8,83379,0.632,200,0.561845064163208,
deletes,static,hmrc,44,8,83379,0.786,200,0.6013181209564209,
deletes,static,mean,44,11,78477,0.631,200,0.7433030605316162,
deletes,static,hmrc,44,11,78477,0.762,200,0.7832529544830322,
deletes,static,mean,44,14,73863,0.645,200,0.9192769527435303,
deletes,static,hmrc,44,14,73863,0.805,200,0.9575080871582031,
deletes,periodic,hmrc,42,2,94120,0.773,398,1.5210471153259277,
deletes,periodic,hmrc,42,5,88587,0.809,598,3.0362491607666016,
deletes,periodic,hmrc,42,8,83379,0.781,598,3.2210230827331543,
deletes,periodic,hmrc,42,11,78477,0.773,798,4.692525148391724,
deletes,periodic,hmrc,42,14,73863,0.822,798,4.856003046035767,
deletes,periodic,hmrc,43,2,94120,0.787,399,1.60862398147583,
deletes,periodic,hmrc,43,5,88587,0.774,599,3.0945820808410645,
deletes,periodic,hmrc,43,8,83379,0.781,599,3.284869909286499,
deletes,periodic,hmrc,43,11,78477,0.78,799,4.661197900772095,
deletes,periodic,hmrc,43,14,73863,0.796,799,4.818242788314819,
deletes,periodic,hmrc,44,2,94120,0.782,398,1.5929679870605469,
deletes,periodic,hmrc,44,5,88587,0.784,598,3.044769763946533,
deletes,periodic,hmrc,44,8,83379,0.771,598,3.24985671043396,
deletes,periodic,hmrc,44,11,78477,0.76,798,4.637852907180786,
deletes,periodic,hmrc,44,14,73863,0.789,798,4.818798780441284,
deletes,drift,hmrc,42,2,94120,0.766,200,0.21056818962097168,
deletes,drift,hmrc,42,5,88587,0.801,204,0.42722487449645996,
deletes,drift,hmrc,42,8,83379,0.783,258,0.9602861404418945,
deletes,drift,hmrc,42,11,78477,0.771,315,1.5239720344543457,
deletes,drift,hmrc,42,14,73863,0.827,378,2.0779690742492676,
deletes,drift,hmrc,43,2,94120,0.787,200,0.20560717582702637,
deletes,drift,hmrc,43,5,88587,0.769,201,0.3999502658843994,
deletes,drift,hmrc,43,8,83379,0.783,254,0.8809101581573486,
deletes,drift,hmrc,43,11,78477,0.777,312,1.426213264465332,
deletes,drift,hmrc,43,14,73863,0.789,380,2.017885208129883,
deletes,drift,hmrc,44,2,94120,0.786,200,0.19592595100402832,
deletes,drift,hmrc,44,5,88587,0.785,201,0.39537572860717773,
deletes,drift,hmrc,44,8,83379,0.772,258,0.9338259696960449,
deletes,drift,hmrc,44,11,78477,0.752,315,1.4776229858398438,
deletes,drift,hmrc,44,14,73863,0.791,382,2.0803561210632324,
tenants,static,mean,42,3,12336,0.966,40,0.12064909934997559,40.0
tenants,static,hmrc,42,3,12336,0.984,40,0.13175320625305176,40.0
tenants,static,mean,42,7,23365,0.967,41,0.18705391883850098,41.0
tenants,static,hmrc,42,7,23365,0.953,41,0.1983489990234375,41.0
tenants,static,mean,42,11,33389,0.959,42,0.28467607498168945,42.0
tenants,static,hmrc,42,11,33389,0.943,42,0.2961089611053467,42.0
tenants,static,mean,42,15,42476,0.947,43,0.39319896697998047,43.0
tenants,static,hmrc,42,15,42476,0.922,43,0.4057309627532959,43.0
tenants,static,mean,42,19,51015,0.92,44,0.5187740325927734,44.0
tenants,static,hmrc,42,19,51015,0.873,44,0.5310380458831787,44.0
tenants,static,mean,43,3,15924,0.981,40,0.10933279991149902,40.0
tenants,static,hmrc,43,3,15924,0.991,40,0.120208740234375,40.0
tenants,static,mean,43,7,29289,0.962,41,0.18239307403564453,41.0
tenants,static,hmrc,43,7,29289,0.972,41,0.19372177124023438,41.0
tenants,static,mean,43,11,38228,0.955,42,0.26894378662109375,42.0
tenants,static,hmrc,43,11,38228,0.95,42,0.2804746627807617,42.0
tenants,static,mean,43,15,44705,0.944,43,0.3589928150177002,43.0
tenants,static,hmrc,43,15,44705,0.945,43,0.3702976703643799,43.0
tenants,static,mean,43,19,49653,0.935,44,0.44357776641845703,44.0
tenants,static,hmrc,43,19,49653,0.909,44,0.4554288387298584,44.0
tenants,static,mean,44,3,13452,0.95,40,0.10468912124633789,40.0
tenants,static,hmrc,44,3,13452,0.969,40,0.11444711685180664,40.0
tenants,static,mean,44,7,26372,0.919,41,0.16963601112365723,41.0
tenants,static,hmrc,44,7,26372,0.944,41,0.18046998977661133,41.0
tenants,static,mean,44,11,36996,0.935,42,0.25663089752197266,42.0
tenants,static,hmrc,44,11,36996,0.915,42,0.2679908275604248,42.0
tenants,static,mean,44,15,44489,0.917,43,0.3567390441894531,43.0
tenants,static,hmrc,44,15,44489,0.911,43,0.36748695373535156,43.0
tenants,static,mean,44,19,50227,0.907,44,0.4523448944091797,44.0
tenants,static,hmrc,44,19,50227,0.907,44,0.4640078544616699,44.0
tenants,periodic,hmrc,42,3,12336,0.982,40,0.09572672843933105,40.0
tenants,periodic,hmrc,42,7,23484,0.984,82,0.3605508804321289,41.0
tenants,periodic,hmrc,42,11,33158,0.993,125,0.8015668392181396,42.0
tenants,periodic,hmrc,42,15,41683,0.991,169,1.4471077919006348,43.0
tenants,periodic,hmrc,42,19,47772,0.98,170,1.5469818115234375,44.0
tenants,periodic,hmrc,43,3,15924,0.989,40,0.1231379508972168,40.0
tenants,periodic,hmrc,43,7,29314,0.992,82,0.4759640693664551,41.0
tenants,periodic,hmrc,43,11,38885,0.99,124,0.9514942169189453,42.0
tenants,periodic,hmrc,43,15,46170,0.993,164,1.5637860298156738,43.0
tenants,periodic,hmrc,43,19,51504,0.979,165,1.6681578159332275,44.0
tenants,periodic,hmrc,44,3,13452,0.973,40,0.09828615188598633,40.0
tenants,periodic,hmrc,44,7,26625,0.995,82,0.39030909538269043,41.0
tenants,periodic,hmrc,44,11,36750,0.99,125,0.8632099628448486,42.0
tenants,periodic,hmrc,44,15,44449,0.992,168,1.4997060298919678,43.0
tenants,periodic,hmrc,44,19,49803,0.976,168,1.5924458503723145,44.0
tenants,drift,hmrc,42,3,12336,0.999,160,0.47685718536376953,40.0
tenants,drift,hmrc,42,7,23484,0.985,244,0.9776229858398438,41.0
tenants,drift,hmrc,42,11,33158,0.995,315,1.6678800582885742,42.0
tenants,drift,hmrc,42,15,41683,0.988,360,2.151672124862671,43.0
tenants,drift,hmrc,42,19,47772,0.985,396,2.5175960063934326,44.0
tenants,drift,hmrc,43,3,15924,1.0,160,0.46819591522216797,40.0
tenants,drift,hmrc,43,7,29314,0.994,242,0.9343349933624268,41.0
tenants,drift,hmrc,43,11,38885,0.986,300,1.3506660461425781,42.0
tenants,drift,hmrc,43,15,46170,0.989,339,1.6606760025024414,43.0
tenants,drift,hmrc,43,19,51504,0.984,364,1.864150047302246,44.0
tenants,drift,hmrc,44,3,13452,0.998,160,0.5262470245361328,40.0
tenants,drift,hmrc,44,7,26625,0.994,244,1.0265369415283203,41.0
tenants,drift,hmrc,44,11,36750,0.988,317,1.5728669166564941,42.0
tenants,drift,hmrc,44,15,44449,0.97,353,1.8779501914978027,43.0
tenants,drift,hmrc,44,19,49803,0.976,385,2.230412006378174,44.0
